Area code,URL,Suara Total,Suara Sah,Suara Tidak Sah,Paslon 01,Paslon 02,Paslon 03
3101021003001,https://kawalpemilu.org/h/31010210031,null,null,null,85,123,14
3101021003002,https://kawalpemilu.org/h/31010210032,null,null,null,null,null,null
3101021003003,https://kawalpemilu.org/h/31010210033,null,null,null,84,122,20
3101021003004,https://kawalpemilu.org/h/31010210034,null,null,null,93,120,27
3101021003005,https://kawalpemilu.org/h/31010210035,null,null,null,42,140,44
3101021003006,https://kawalpemilu.org/h/31010210036,null,null,null,40,148,33
3101021003007,https://kawalpemilu.org/h/31010210037,null,null,null,120,102,16
3101021003008,https://kawalpemilu.org/h/31010210038,null,null,null,108,128,18
3101021003009,https://kawalpemilu.org/h/31010210039,null,null,null,58,123,19
3101021003010,https://kawalpemilu.org/h/310102100310,null,null,null,63,115,23
3101021002001,https://kawalpemilu.org/h/31010210021,null,null,null,77,110,25
3101021002002,https://kawalpemilu.org/h/31010210022,null,null,null,null,null,null
3101021002003,https://kawalpemilu.org/h/31010210023,null,null,null,100,105,9
3101021002004,https://kawalpemilu.org/h/31010210024,null,null,null,null,null,null
3101021002005,https://kawalpemilu.org/h/31010210025,null,null,null,115,79,16
3101021002006,https://kawalpemilu.org/h/31010210026,null,null,null,null,null,null
3101021002007,https://kawalpemilu.org/h/31010210027,null,null,null,83,115,16
3101021002008,https://kawalpemilu.org/h/31010210028,null,null,null,null,null,null
3101021002009,https://kawalpemilu.org/h/31010210029,null,null,null,46,78,22
3101021002010,https://kawalpemilu.org/h/310102100210,null,null,null,63,64,15
3101021002011,https://kawalpemilu.org/h/310102100211,null,null,null,117,98,27
3101021002012,https://kawalpemilu.org/h/310102100212,null,null,null,63,114,46
3101021002013,https://kawalpemilu.org/h/310102100213,null,null,null,86,108,37
3101021002014,https://kawalpemilu.org/h/310102100214,null,null,null,null,null,null
3101021002015,https://kawalpemilu.org/h/310102100215,null,null,null,93,69,24
3101021002016,https://kawalpemilu.org/h/310102100216,null,null,null,77,73,5
3101021002017,https://kawalpemilu.org/h/310102100217,null,null,null,89,64,12
3101021002018,https://kawalpemilu.org/h/310102100218,null,null,null,59,72,4
3101021001001,https://kawalpemilu.org/h/31010210011,null,null,null,107,101,18
3101021001002,https://kawalpemilu.org/h/31010210012,null,null,null,92,124,30
3101021001003,https://kawalpemilu.org/h/31010210013,null,null,null,103,96,25
3101021001004,https://kawalpemilu.org/h/31010210014,null,null,null,130,80,25
3101021001005,https://kawalpemilu.org/h/31010210015,null,null,null,129,82,20
3101021001006,https://kawalpemilu.org/h/31010210016,null,null,null,115,62,11
3101021001007,https://kawalpemilu.org/h/31010210017,null,null,null,107,65,9
3101011003001,https://kawalpemilu.org/h/31010110031,null,null,null,null,null,null
3101011003002,https://kawalpemilu.org/h/31010110032,null,null,null,60,146,31
3101011003003,https://kawalpemilu.org/h/31010110033,null,null,null,62,136,42
3101011003004,https://kawalpemilu.org/h/31010110034,null,null,null,53,150,35
3101011003005,https://kawalpemilu.org/h/31010110035,null,null,null,null,null,null
3101011003006,https://kawalpemilu.org/h/31010110036,null,null,null,60,73,24
3101011003007,https://kawalpemilu.org/h/31010110037,null,null,null,147,43,3
3101011003008,https://kawalpemilu.org/h/31010110038,null,null,null,149,19,17
3101011002001,https://kawalpemilu.org/h/31010110021,null,null,null,96,80,29
3101011002002,https://kawalpemilu.org/h/31010110022,null,null,null,null,null,null
3101011002003,https://kawalpemilu.org/h/31010110023,null,null,null,78,136,42
3101011002004,https://kawalpemilu.org/h/31010110024,null,null,null,94,118,33
3101011002005,https://kawalpemilu.org/h/31010110025,null,null,null,null,null,null
3101011002006,https://kawalpemilu.org/h/31010110026,null,null,null,88,113,25
3101011002007,https://kawalpemilu.org/h/31010110027,null,null,null,null,null,null
3101011002008,https://kawalpemilu.org/h/31010110028,null,null,null,98,150,12
3101011002009,https://kawalpemilu.org/h/31010110029,null,null,null,null,null,null
3101011002010,https://kawalpemilu.org/h/310101100210,null,null,null,61,155,29
3101011002011,https://kawalpemilu.org/h/310101100211,null,null,null,null,null,null
3101011002012,https://kawalpemilu.org/h/310101100212,null,null,null,78,136,27
3101011002013,https://kawalpemilu.org/h/310101100213,null,null,null,97,102,43
3101011002014,https://kawalpemilu.org/h/310101100214,null,null,null,80,126,23
3101011002015,https://kawalpemilu.org/h/310101100215,null,null,null,54,136,33
3101011002016,https://kawalpemilu.org/h/310101100216,null,null,null,35,145,19
3101011002017,https://kawalpemilu.org/h/310101100217,null,null,null,41,131,36
