Area code,URL,Suara Total,Suara Sah,Suara Tidak Sah,Paslon 01,Paslon 02,Paslon 03
3174061001001,https://kawalpemilu.org/h/31740610011,null,null,null,null,null,null
3174061001002,https://kawalpemilu.org/h/31740610012,null,null,null,131,59,10
3174061001003,https://kawalpemilu.org/h/31740610013,null,null,null,107,75,24
3174061001004,https://kawalpemilu.org/h/31740610014,null,null,null,96,91,27
3174061001005,https://kawalpemilu.org/h/31740610015,null,null,null,87,85,48
3174061001006,https://kawalpemilu.org/h/31740610016,null,null,null,115,103,48
3174061001007,https://kawalpemilu.org/h/31740610017,null,null,null,114,86,46
3174061001008,https://kawalpemilu.org/h/31740610018,null,null,null,90,81,48
3174061001009,https://kawalpemilu.org/h/31740610019,null,null,null,88,74,50
3174061001010,https://kawalpemilu.org/h/317406100110,null,null,null,null,null,null
3174061001011,https://kawalpemilu.org/h/317406100111,null,null,null,null,null,null
3174061001012,https://kawalpemilu.org/h/317406100112,null,null,null,null,null,null
3174061001013,https://kawalpemilu.org/h/317406100113,null,null,null,null,null,null
3174061001014,https://kawalpemilu.org/h/317406100114,null,null,null,null,null,null
3174061001015,https://kawalpemilu.org/h/317406100115,null,null,null,null,null,null
3174061001016,https://kawalpemilu.org/h/317406100116,null,null,null,null,null,null
3174061001017,https://kawalpemilu.org/h/317406100117,null,null,null,null,null,null
3174061001018,https://kawalpemilu.org/h/317406100118,null,null,null,null,null,null
3174061001019,https://kawalpemilu.org/h/317406100119,null,null,null,null,null,null
3174061001020,https://kawalpemilu.org/h/317406100120,null,null,null,null,null,null
3174061001021,https://kawalpemilu.org/h/317406100121,null,null,null,70,96,33
3174061001022,https://kawalpemilu.org/h/317406100122,null,null,null,65,77,52
3174061001023,https://kawalpemilu.org/h/317406100123,null,null,null,70,94,44
3174061001024,https://kawalpemilu.org/h/317406100124,null,null,null,null,null,null
3174061001025,https://kawalpemilu.org/h/317406100125,null,null,null,68,103,45
3174061001026,https://kawalpemilu.org/h/317406100126,null,null,null,92,80,39
3174061001027,https://kawalpemilu.org/h/317406100127,null,null,null,100,78,25
3174061001028,https://kawalpemilu.org/h/317406100128,null,null,null,87,103,39
3174061001029,https://kawalpemilu.org/h/317406100129,null,null,null,null,null,null
3174061001030,https://kawalpemilu.org/h/317406100130,null,null,null,94,86,53
3174061001031,https://kawalpemilu.org/h/317406100131,null,null,null,134,74,33
3174061001032,https://kawalpemilu.org/h/317406100132,null,null,null,null,null,null
3174061001033,https://kawalpemilu.org/h/317406100133,null,null,null,64,57,53
3174061001034,https://kawalpemilu.org/h/317406100134,null,null,null,null,null,null
3174061001035,https://kawalpemilu.org/h/317406100135,null,null,null,69,107,58
3174061001036,https://kawalpemilu.org/h/317406100136,null,null,null,93,80,73
3174061001037,https://kawalpemilu.org/h/317406100137,null,null,null,null,null,null
3174061001038,https://kawalpemilu.org/h/317406100138,null,null,null,null,null,null
3174061001039,https://kawalpemilu.org/h/317406100139,null,null,null,null,null,null
3174061001040,https://kawalpemilu.org/h/317406100140,null,null,null,140,35,19
3174061001041,https://kawalpemilu.org/h/317406100141,null,null,null,52,107,26
3174061001042,https://kawalpemilu.org/h/317406100142,null,null,null,106,96,32
3174061001043,https://kawalpemilu.org/h/317406100143,null,null,null,null,null,null
3174061001044,https://kawalpemilu.org/h/317406100144,null,null,null,null,null,null
3174061001045,https://kawalpemilu.org/h/317406100145,null,null,null,68,75,36
3174061001046,https://kawalpemilu.org/h/317406100146,null,null,null,57,103,64
3174061001047,https://kawalpemilu.org/h/317406100147,null,null,null,54,93,86
3174061001048,https://kawalpemilu.org/h/317406100148,null,null,null,null,null,null
3174061001049,https://kawalpemilu.org/h/317406100149,null,null,null,null,null,null
3174061001050,https://kawalpemilu.org/h/317406100150,null,null,null,null,null,null
3174061001051,https://kawalpemilu.org/h/317406100151,null,null,null,44,69,71
3174061001052,https://kawalpemilu.org/h/317406100152,null,null,null,null,null,null
3174061001053,https://kawalpemilu.org/h/317406100153,null,null,null,null,null,null
3174061001054,https://kawalpemilu.org/h/317406100154,null,null,null,null,null,null
3174061001055,https://kawalpemilu.org/h/317406100155,null,null,null,92,51,31
3174061001056,https://kawalpemilu.org/h/317406100156,null,null,null,53,79,30
3174061001057,https://kawalpemilu.org/h/317406100157,null,null,null,93,49,59
3174061001058,https://kawalpemilu.org/h/317406100158,null,null,null,134,61,37
3174061001059,https://kawalpemilu.org/h/317406100159,null,null,null,null,null,null
3174061001060,https://kawalpemilu.org/h/317406100160,null,null,null,140,35,19
3174061001061,https://kawalpemilu.org/h/317406100161,null,null,null,134,40,20
3174061001062,https://kawalpemilu.org/h/317406100162,null,null,null,null,null,null
3174061001063,https://kawalpemilu.org/h/317406100163,null,null,null,121,57,25
3174061001064,https://kawalpemilu.org/h/317406100164,null,null,null,89,68,53
3174061001065,https://kawalpemilu.org/h/317406100165,null,null,null,139,77,34
3174061001066,https://kawalpemilu.org/h/317406100166,null,null,null,null,null,null
3174061001067,https://kawalpemilu.org/h/317406100167,null,null,null,null,null,null
3174061001068,https://kawalpemilu.org/h/317406100168,null,null,null,81,77,29
3174061001069,https://kawalpemilu.org/h/317406100169,null,null,null,null,null,null
3174061001070,https://kawalpemilu.org/h/317406100170,null,null,null,null,null,null
3174061001071,https://kawalpemilu.org/h/317406100171,null,null,null,76,94,79
3174061001072,https://kawalpemilu.org/h/317406100172,null,null,null,null,null,null
3174061001073,https://kawalpemilu.org/h/317406100173,null,null,null,null,null,null
3174061001074,https://kawalpemilu.org/h/317406100174,null,null,null,null,null,null
3174061001075,https://kawalpemilu.org/h/317406100175,null,null,null,null,null,null
3174061001076,https://kawalpemilu.org/h/317406100176,null,null,null,null,null,null
