Area code,URL,Suara Total,Suara Sah,Suara Tidak Sah,Paslon 01,Paslon 02,Paslon 03
1105072002001,https://kawalpemilu.org/h/11050720021,null,null,null,121,15,0
1105072002002,https://kawalpemilu.org/h/11050720022,null,null,null,149,14,1
1105072004001,https://kawalpemilu.org/h/11050720041,null,null,null,null,null,null
1105072003001,https://kawalpemilu.org/h/11050720031,null,null,null,159,32,2
1105072001001,https://kawalpemilu.org/h/11050720011,null,null,null,172,24,2
1105072005001,https://kawalpemilu.org/h/11050720051,null,null,null,122,36,2
1105072005002,https://kawalpemilu.org/h/11050720052,null,null,null,123,31,1
1105072007001,https://kawalpemilu.org/h/11050720071,null,null,null,null,null,null
1105072006001,https://kawalpemilu.org/h/11050720061,null,null,null,145,35,1
1105072008001,https://kawalpemilu.org/h/11050720081,null,null,null,null,null,null
1105072008002,https://kawalpemilu.org/h/11050720082,null,null,null,null,null,null
1105072026001,https://kawalpemilu.org/h/11050720261,null,null,null,146,44,13
1105072027001,https://kawalpemilu.org/h/11050720271,null,null,null,32,29,0
1105072010001,https://kawalpemilu.org/h/11050720101,null,null,null,189,17,3
1105072010002,https://kawalpemilu.org/h/11050720102,null,null,null,215,17,4
1105072009001,https://kawalpemilu.org/h/11050720091,null,null,null,null,null,null
1105072009002,https://kawalpemilu.org/h/11050720092,null,null,null,null,null,null
1105072011001,https://kawalpemilu.org/h/11050720111,null,null,null,181,32,0
1105072014001,https://kawalpemilu.org/h/11050720141,null,null,null,110,31,1
1105072013001,https://kawalpemilu.org/h/11050720131,null,null,null,null,null,null
1105072015001,https://kawalpemilu.org/h/11050720151,null,null,null,220,34,3
1105072015002,https://kawalpemilu.org/h/11050720152,null,null,null,215,37,1
1105072012001,https://kawalpemilu.org/h/11050720121,null,null,null,200,27,2
1105072012002,https://kawalpemilu.org/h/11050720122,null,null,null,180,28,1
1105072012003,https://kawalpemilu.org/h/11050720123,null,null,null,162,38,2
1105072016001,https://kawalpemilu.org/h/11050720161,null,null,null,null,null,null
1105072016002,https://kawalpemilu.org/h/11050720162,null,null,null,156,15,2
1105072018001,https://kawalpemilu.org/h/11050720181,null,null,null,133,18,0
1105072022001,https://kawalpemilu.org/h/11050720221,null,null,null,null,null,null
1105072022002,https://kawalpemilu.org/h/11050720222,null,null,null,null,null,null
1105072021001,https://kawalpemilu.org/h/11050720211,null,null,null,null,null,null
1105072021002,https://kawalpemilu.org/h/11050720212,null,null,null,173,22,6
1105072021003,https://kawalpemilu.org/h/11050720213,null,null,null,187,28,6
1105072020001,https://kawalpemilu.org/h/11050720201,null,null,null,173,22,3
1105072019001,https://kawalpemilu.org/h/11050720191,null,null,null,null,null,null
1105072017001,https://kawalpemilu.org/h/11050720171,null,null,null,null,null,null
1105072023001,https://kawalpemilu.org/h/11050720231,null,null,null,219,42,3
1105072023002,https://kawalpemilu.org/h/11050720232,null,null,null,223,28,1
1105072024001,https://kawalpemilu.org/h/11050720241,null,null,null,107,52,1
1105072025001,https://kawalpemilu.org/h/11050720251,null,null,null,null,null,null
1105072025002,https://kawalpemilu.org/h/11050720252,null,null,null,176,21,1
1105062002001,https://kawalpemilu.org/h/11050620021,null,null,null,124,14,4
1105062002002,https://kawalpemilu.org/h/11050620022,null,null,null,null,null,null
1105062001001,https://kawalpemilu.org/h/11050620011,null,null,null,null,null,null
1105062003001,https://kawalpemilu.org/h/11050620031,null,null,null,null,null,null
1105062003002,https://kawalpemilu.org/h/11050620032,null,null,null,null,null,null
1105062004001,https://kawalpemilu.org/h/11050620041,null,null,null,null,null,null
1105062004002,https://kawalpemilu.org/h/11050620042,null,null,null,163,32,8
1105062005001,https://kawalpemilu.org/h/11050620051,null,null,null,null,null,null
1105062006001,https://kawalpemilu.org/h/11050620061,null,null,null,null,null,null
1105062007001,https://kawalpemilu.org/h/11050620071,null,null,null,148,35,2
1105062009001,https://kawalpemilu.org/h/11050620091,null,null,null,null,null,null
1105062009002,https://kawalpemilu.org/h/11050620092,null,null,null,null,null,null
1105062008001,https://kawalpemilu.org/h/11050620081,null,null,null,193,50,3
1105062008002,https://kawalpemilu.org/h/11050620082,null,null,null,212,33,1
1105062010001,https://kawalpemilu.org/h/11050620101,null,null,null,null,null,null
1105062010002,https://kawalpemilu.org/h/11050620102,null,null,null,105,45,5
1105062011001,https://kawalpemilu.org/h/11050620111,null,null,null,null,null,null
1105062011002,https://kawalpemilu.org/h/11050620112,null,null,null,null,null,null
1105062012001,https://kawalpemilu.org/h/11050620121,null,null,null,null,null,null
1105062012002,https://kawalpemilu.org/h/11050620122,null,null,null,null,null,null
1105062013001,https://kawalpemilu.org/h/11050620131,null,null,null,null,null,null
1105062014001,https://kawalpemilu.org/h/11050620141,null,null,null,184,70,2
1105062016001,https://kawalpemilu.org/h/11050620161,null,null,null,null,null,null
1105062015001,https://kawalpemilu.org/h/11050620151,null,null,null,null,null,null
1105062017001,https://kawalpemilu.org/h/11050620171,null,null,null,109,33,0
1105012016001,https://kawalpemilu.org/h/11050120161,null,null,null,182,52,8
1105012016002,https://kawalpemilu.org/h/11050120162,null,null,null,168,74,5
1105012016003,https://kawalpemilu.org/h/11050120163,null,null,null,209,48,2
1105012016004,https://kawalpemilu.org/h/11050120164,null,null,null,null,null,null
1105012016005,https://kawalpemilu.org/h/11050120165,null,null,null,189,61,8
1105012016006,https://kawalpemilu.org/h/11050120166,null,null,null,167,72,7
1105012016007,https://kawalpemilu.org/h/11050120167,null,null,null,179,70,4
1105012016008,https://kawalpemilu.org/h/11050120168,null,null,null,null,null,null
1105012016009,https://kawalpemilu.org/h/11050120169,null,null,null,163,75,8
1105012007001,https://kawalpemilu.org/h/11050120071,null,null,null,168,55,4
1105012007002,https://kawalpemilu.org/h/11050120072,null,null,null,162,80,6
1105012007003,https://kawalpemilu.org/h/11050120073,null,null,null,175,54,2
1105012007004,https://kawalpemilu.org/h/11050120074,null,null,null,183,53,9
1105012007005,https://kawalpemilu.org/h/11050120075,null,null,null,181,62,4
1105012007006,https://kawalpemilu.org/h/11050120076,null,null,null,176,66,4
1105012007007,https://kawalpemilu.org/h/11050120077,null,null,null,null,null,null
1105012007008,https://kawalpemilu.org/h/11050120078,null,null,null,null,null,null
1105012007009,https://kawalpemilu.org/h/11050120079,null,null,null,196,55,3
1105012007010,https://kawalpemilu.org/h/110501200710,null,null,null,null,null,null
1105012007011,https://kawalpemilu.org/h/110501200711,null,null,null,189,40,7
